# ITS::Verkabelung
American Wire Gauge; nordamerikanische Kodierung für den Drahtdurchmesser </br> für Litzen und Draht
Basic Link; veraltetes Messverfahren, bei dem Leitung, Dosen und Patchleitung gemessen wird
Break Out Kabel; Mehrkanalkabel aus vollwertigen Einzelkabeln, geringerer Durchmesser und Biegeradius wie Bündeladern
Brechungsindex; Maßzahl für die Brechung des Lichts an der Grenzfläche zweier Materialien. sin(a) / sin(b) = c1 / c2 = n1 / n2
Buffer Coating; Beschichtung optischer Kabel zum Schutz, mechanischen Isolation und Identifizierung, meist aus Kunststoff
Cladding; Lichtleiter Schicht um den Core, durch geringeren Brechungsindex kommt es am Übergang core zu cladding zu Totalreflecxion
Dispersion; Ist der Effekt, dass Licht je nach Wellenlänge anderst gebrochen wird.
FCPC-Stecker; LWL Steckverbingung</br> Verriegelung über Bajonettverschluss</br> 2,5 mm Ferrule</br> Endfläche konvex geschliffen
Ferrule;Röhrchen, das im Stecker die  Glasfaser aufnimmt. 
F-SMA 905 Stecker; ausschlieslich für Multimodefasern </br> sehr robust </br> hohe Einfügedämpfung </br> keine Verdrehsicherung
Gradientenprofil; Brechzahl des Kerns nimmt parabelförmig zum Mantel ab. Dadurch werden die verschiedenen Wellenlängen weich gebrochen. Eignet sich so für lange Strecken
CAT 8; vier STP Adernpaare </br> Bandbreite von 2GHz </br> RJ45 Stecker </br> 40 Gbit/s bis 30m
LC Stecker; für Single- und Multimode </br> sehr klein </br> ca. 0,5 vom SC Stecker
SC Stecker; für Single- und Multimode </br> sehr klein
Linkklassen; Spezifikation aller Anschlusselemente bis zur Anschlussdose von A - FA, je höher desto besser
Monomode Fasern; Glasfaser zur Übertragung von Licht einer einzigen Wellenlänge </br> Durchmesser ist ein Vielfaches der Wellenlänge </br> keine Totalreflexion, Licht breitet sich geradlinig aus
Nebensprechen;unerünschte gegenseitige Beeinflußung der Signale benachbarter Kabel. 
NEXT; Nahnebensprechen, tritt auf der Seite des Senders auf. Stärker als FEXT
FEXT; Fernnebensprechen, tritt auf der Seite des Empfängers auf. Schwächer als NEXT
OM1-3; Faserkategorien für Multimodefasern bei LWL. OM1 und 2 sind für Einsatz von LEDs geeignet
OS1-2; Faserkategorien für Singlemodefasern. Unterscheiden sich bei der maximalen Dämpfung
Permanentlink; Messstrecke zwischen Dosen. Nur fest verlegte und unveränderliche Komponenten
Pigtail; Einzelne ungebufferte Faser, auf einer Seite mit einem Stecker versehen. Die andere Seite ist zum Spleßen gedacht
SC und ST Verbindungen; LWL Steckverbindungen, SC ist der Standard für 100BaseF
Schirmung; schirmt Kabel vor E-Feldern um Interferenzen zu vermeiden
Multimode Fasern; Fasern in denen Licht unterschiedlicher Wellenlänge übertragen wird. Die unterschiedlichen Wellenlängen werden unterschiedlich durch Totalreflexion reflektiert, wodurch es zu Laufzeitunterschieden kommt. Daher ist Multimode nur für kürzere Distanzen geeignet.
ST Stecker; Stecker für LWL mit Bajonettverschluss
Stufenindex Profil; starke und plötzliche Änderung des Brechungsgrades beim Übergang vom Mantel zum Kernglas. Dadurch härtere Reflexion der einzelnen Wellenlängen. Führt zu unterschiedlichen Laufzeiten --> schlechter Signal
Dämpfung; Signalqualtität nimmt ab. Schlechtere Übertragungsgeschwindigkeit durch erhöhte Fehler
Verstärkung; ein schwaches Signal wird verstärkt um längere Übertragungswege zu ermöglichen. In Switches wird das Signal auch korrigiert.
CAT-Kategorien; von CAT1 - CAT7a. Unterschiedliche Kabelkategorien für TwistedPairKabel wobei  sich höhere Kategorien für höhere Übertragungsgeschwindigkeiten eignen
CAT3; ungeschirmt, Standard bei Telfonverkabelung und ISDN, sollte bei diesen Einsatzgebieten CAT5 vorgezogen werden. Bis 16MHz
CAT5/5e; stellt den Großteil der installierten Basis. CAT5e ermöglicht Gigabit Ethernet. Bis 100MHz
Tertiärbereich; Stockwerkverkabelung mit Kupfer oder LWL
Sekundärbereich; Stockwerkverbindung mit Kupfer oder LWL
Primärbereich; Gebäudeverbingung mit LWL
alte Benennung CAT5 Kabelbeschaffenheit; U/UTP komplett ohne Schirm
alte Benennung CAT5e Kabelbeschaffenheit; F/UTP das gesamte Kabel wird durch Foliegeschirmt
CAT6 Kabelbeschaffenheit; U/FTP jedes Adernpaar wird durch Folie geschirmt
CAT7a Kabelbeschaffenheit; S/FTP jedes Adernpaar wird durch Folie geschirmt. Das gesamte Kabel wird durch ein Cu-Geflecht geschirmt
Welche 3 Eigenschaften beeinflußen die Übertragungseigenschaften von Cu-Kabeln bei niedrigen Frequenzen?; Leiterwiderstand </br> Isolierwiderstand </br> Betriebskapazität
Leiterwiderstand; abhängig von Querschnitt, Länge und Material
Isolierwiderstand; abhängig von Isolierstoff, nimmt bei steigender Länge zu
Betriebskapazität; ergibt sich aus Kapazitäten der Einzeladern, steigt linear mit der Länge
Welche 5 Eigenschaften beeinflußen die Übertragungseigenschaften von Cu-Kabeln bei hohen Frequenzen?; Wellenwiderstand </br> Leitungsdämpfung </br> Nebensprechen </br> Übersprechdämpfen </br> Erdungssymmetrie

